timestamp,fav_number,sibling_number,wake_up_time,fav_season,pets,dominant_hand,birth_month,height,risk_pref,study_sound
8/27/2025 11:08:50,2,5,10 am,Summer,Pets,Right,May,65,A 50% chance to win $24,Music with lyrics
8/30/2025 12:52:44,8,3,7 am,Fall,No Pets,Right,June,61,A sure $10,Instrumental music
9/3/2025 9:39:35,4,2,7 am,Summer,Pets,Right,December,61,A 50% chance to win $24,Music with lyrics
9/3/2025 11:02:58,7,1,8 am,Summer,Pets,Right,June,63,A sure $10,Instrumental music
9/5/2025 19:45:00,9,1,10 am,Summer,Pets,Right,January,66,A sure $10,No music
9/6/2025 15:52:47,5,1,9 am,Winter,Pets,Right,May,68,A sure $10,Ambient noise
9/7/2025 19:21:26,5,2,8 am,Summer,Pets,Right,April,60,A 50% chance to win $24,Music with lyrics
9/8/2025 1:41:12,7,2,7 am,Summer,Pets,Right,March,68,A 50% chance to win $24,Music with lyrics
9/8/2025 8:26:18,7,3,10 am,Winter,Pets,Right,June,71,A sure $10,Instrumental music
9/8/2025 8:38:11,7,3,9 am,Summer,Pets,Right,December,66,A sure $10,No music
9/8/2025 9:06:28,7,4,7 am,Spring,No Pets,Both (Ambidextrous),July,52,A 50% chance to win $24,Instrumental music
9/8/2025 10:44:36,1,0,7 am,Summer,Pets,Right,July,68,A 50% chance to win $24,Instrumental music
9/8/2025 11:18:13,5,1,6 am,Spring,Pets,Right,June,65,A 50% chance to win $24,Ambient noise
9/8/2025 11:22:39,6,1,11 am,Fall,Pets,Right,August,64,A 50% chance to win $24,Instrumental music
9/8/2025 11:22:45,4,1,7 am,Summer,Pets,Right,March,67,A 50% chance to win $24,Instrumental music
9/8/2025 11:23:03,7,1,8 am,Summer,Pets,Right,October,63,A 50% chance to win $24,Ambient noise
9/8/2025 11:23:29,1,0,7 am,Summer,Pets,Right,July,68,A 50% chance to win $24,Instrumental music
9/8/2025 11:23:37,7,1,10 am,Summer,Pets,Right,April,64,A sure $10,Instrumental music
9/8/2025 11:24:09,7,1,6 am,Summer,No Pets,Right,July,64,A sure $10,Ambient noise
9/8/2025 11:24:10,6,3,8 am,Summer,Pets,Right,June,63,A 50% chance to win $24,Instrumental music
9/8/2025 11:24:28,5,1,11 am,Summer,Pets,Right,June,66,A 50% chance to win $24,Ambient noise
9/8/2025 11:25:46,3,2,9 am,Winter,Pets,Right,February,71,A sure $10,Instrumental music
9/8/2025 11:26:05,7,2,8 am,Summer,Pets,Right,September,68,A 50% chance to win $24,Ambient noise
9/8/2025 11:26:44,8,3,8 am,Summer,Pets,Right,October,71,A 50% chance to win $24,Music with lyrics
9/8/2025 11:26:53,5,1,10 am,Summer,Pets,Right,January,64,A sure $10,Instrumental music
9/8/2025 11:27:08,10,1,11 am,Summer,Pets,Right,January,67,A sure $10,Ambient noise
9/8/2025 11:27:40,7,1,9 am,Winter,Pets,Right,November,61,A sure $10,Instrumental music
9/8/2025 11:30:22,3,5,10 am,Fall,Pets,Right,July,63,A sure $10,Music with lyrics
9/8/2025 11:30:29,4,3,7 am,Summer,Pets,Right,August,75,A sure $10,No music
9/8/2025 11:30:51,7,0,9 am,Summer,No Pets,Right,June,68,A 50% chance to win $24,Instrumental music
